"id","Field ID","Table Name","Field Desc","Table ID","Field Name","Table Desc","Field Type","Field Opt Name","createdTime"
"rec0070QTEMx0JNUU","fld70xePEOhuPszTl","Institutions","Email of institution","tbldEkEN1kqPi0cx2","Institution Email","Institutions relevant to the ACDC database","email",NA,"2022-07-05T09:40:16.000Z"
"rec02WYsjA8JVLfiz","fldMJIxkfkbpvGqOe","Topics","Name of Source","tblIyWqnGcVE4mGRg","Sources","Research fields/expertise relevant to the ACDC database","multipleRecordLinks","Sources","2022-07-05T09:40:16.000Z"
"rec16dXqHuWpG9Gt0","fldhc3RYShY7o4Gui","Funders","Type of funder","tblDQVkAy8ROTYfFS","Funder Type","Funding bodies or grant providers relevant to ACDC database","singleSelect","Charitable organization, Foundation, Pharmaceutical company , Not-for-profit Partnership, NGO, Government Agency, University, Research Institut, Public- public partnership , Public-private partnership","2022-07-05T09:40:16.000Z"
"rec1YMt9w2QCbEoDo","fld9mgmn09XNsjaYN","Activities","Activity name","tbl7emmSomJjnOUQX","Activity","Research activities relevant to the ACDC database","singleLineText",NA,"2022-07-05T09:40:16.000Z"
"rec1eqzF9tU12enKS","fldqiIYOEogMNjf98","Activities","Name of primary source","tbl7emmSomJjnOUQX","Source Name (from Primary Sources)","Research activities relevant to the ACDC database","multipleLookupValues",NA,"2022-07-13T14:50:44.000Z"
"rec1kQIKGXPe0FRgq","fld11d2h7VxMzmGXY","Activities","Internal notes for maintenance","tbl7emmSomJjnOUQX","Notes","Research activities relevant to the ACDC database","singleLineText",NA,"2022-07-28T08:33:38.000Z"
"rec2Bg3EyXL8pZFhA","fldPlZFWGAR8XCbEn","Topics","Disease entity related/relevant to the field/topic of interest","tblIyWqnGcVE4mGRg","Diseases","Research fields/expertise relevant to the ACDC database","multipleSelects","HIV, TB, COVID-19, Monkeypox, Lassa fever, Bat flu, Avian flu, Swine flu, Ebola virus disease, Marburg virus disease, Marburg haemorrhagic fever, H7N9, H5N1, H1N1, H1N2, H3N2, Plague, Anthrax, Crimean-Congo Haemorrhagic Fever, Rift Valley Fever, Nipah Virus, Brucellosis, undulant fever, Malta fever, Mediterranean fever, Hantavirus haemorrhagic fever with renal syndrome, Hantavirus pulmonary syndrome, Q fever, Chikungunya, Henipavirus, Ghanaian bat henipavirus, Leptospirosis, Weill's disease, West Nile Fever, Zika fever, Dengue fever, African trypanosomiasis, Chagas disease, Yellow fever, Malaria, Re-emerging viruses, Visceral Leishmaniasis, Kala-azar, Cutaneous leishmaniasis , Hepatitis E , Viral Hepatitis, Hepatitis C, Hepatitis B, Leprosy, Hookworm, Schistosomiasis, Ascariasis, Trichuriasis, Lymphatic filariasis, Trachoma, Buruli ulcer, Dracunculiasis, Bilharzia, Whipworm Infection, Elephantiasis, Guinea-worm disease , Burkitt lymphoma, Cryptococcal meningitis, Kaposi sarcoma, schistosomiasis, Viral haemorrhagic fever, Rabies","2022-07-05T09:40:16.000Z"
"rec2X1st2VbRXnZac","fldBYwVDLATdoI6QX","Activities","Activity Topic","tbl7emmSomJjnOUQX","Topic","Research activities relevant to the ACDC database","multipleRecordLinks","Topics","2022-07-05T09:40:16.000Z"
"rec3A7U1o2A3qxxHf","fldjkjeVT9o2zJfwX","Survey Results","Description of activity","tblfzwFl6i5MHxlzZ","Activity description/ purpose",NA,"multilineText",NA,"2023-02-27T16:28:59.000Z"
"rec4wuZOeuUWhzAM8","fldk3JqcsJxZwjhJ2","Activities","Grand Identifier","tbl7emmSomJjnOUQX","Grant ID","Research activities relevant to the ACDC database","singleLineText",NA,"2023-02-27T16:28:59.000Z"
